Year,Month,average,trend
2000,1,1775.53,1773.31
2000,2,1775.45,1773.3
2000,3,1776.5,1773.28
2000,4,1777.2,1773.24
2000,5,1774.57,1773.17
2000,6,1768.14,1773.08
2000,7,1763.46,1772.96
2000,8,1765.45,1772.81
2000,9,1772.05,1772.64
2000,10,1777.09,1772.46
2000,11,1777.73,1772.26
2000,12,1775.32,1772.07
2001,1,1772.87,1771.87
2001,2,1772.53,1771.69
2001,3,1773.66,1771.53
2001,4,1773.87,1771.39
2001,5,1770.87,1771.27
2001,6,1766.11,1771.18
2001,7,1763.02,1771.12
2001,8,1764.51,1771.09
2001,9,1770.45,1771.1
2001,10,1775.48,1771.12
2001,11,1776.57,1771.17
2001,12,1775.93,1771.24
2002,1,1774.09,1771.34
2002,2,1772.82,1771.44
2002,3,1773.41,1771.57
2002,4,1772.74,1771.72
2002,5,1770.3,1771.9
2002,6,1766.91,1772.1
2002,7,1764.21,1772.34
2002,8,1766.85,1772.63
2002,9,1773.67,1772.96
2002,10,1778.25,1773.33
2002,11,1779.5,1773.75
2002,12,1779.65,1774.22
2003,1,1777.53,1774.74
2003,2,1774.83,1775.26
2003,3,1774.85,1775.81
2003,4,1775.8,1776.39
2003,5,1774.45,1776.96
2003,6,1771.69,1777.5
2003,7,1770.7,1778.01
2003,8,1774.3,1778.45
2003,9,1780.56,1778.81
2003,10,1784.68,1779.08
2003,11,1785.28,1779.24
2003,12,1783.53,1779.28
2004,1,1780.68,1779.21
2004,2,1779.67,1779.03
2004,3,1780.95,1778.75
2004,4,1780.86,1778.38
2004,5,1777.62,1777.93
2004,6,1772.26,1777.43
2004,7,1768.03,1776.91
2004,8,1769.8,1776.37
2004,9,1775.54,1775.86
2004,10,1779.76,1775.4
2004,11,1780.5,1775
2004,12,1778.26,1774.66
2005,1,1776.14,1774.41
2005,2,1775.75,1774.25
2005,3,1775.59,1774.17
2005,4,1774.78,1774.15
2005,5,1772.51,1774.2
2005,6,1768.81,1774.29
2005,7,1766.4,1774.4
2005,8,1768.16,1774.53
2005,9,1773.24,1774.65
2005,10,1778.58,1774.74
2005,11,1781.25,1774.81
2005,12,1780.26,1774.84
2006,1,1779.51,1774.83
2006,2,1779.48,1774.81
2006,3,1777.4,1774.77
2006,4,1776.11,1774.73
2006,5,1774.91,1774.71
2006,6,1769.24,1774.72
2006,7,1764.16,1774.79
2006,8,1767.24,1774.94
2006,9,1774.59,1775.17
2006,10,1778.24,1775.49
2006,11,1779.04,1775.9
2006,12,1779.92,1776.4
2007,1,1779.2,1776.99
2007,2,1778.6,1777.61
2007,3,1780.25,1778.29
2007,4,1781.11,1779.01
2007,5,1779.48,1779.75
2007,6,1775.62,1780.49
2007,7,1772.58,1781.21
2007,8,1777.19,1781.91
2007,9,1785.88,1782.56
2007,10,1789.85,1783.17
2007,11,1789.54,1783.74
2007,12,1788.19,1784.28
2008,1,1786.69,1784.81
2008,2,1785.81,1785.3
2008,3,1786.18,1785.79
2008,4,1786.88,1786.29
2008,5,1785.2,1786.8
2008,6,1780.47,1787.33
2008,7,1777.64,1787.88
2008,8,1781.05,1788.46
2008,9,1787.66,1789.04
2008,10,1793.67,1789.62
2008,11,1797.31,1790.21
2008,12,1796.6,1790.78
2009,1,1795.07,1791.34
2009,2,1795.6,1791.85
2009,3,1795.95,1792.33
2009,4,1795.54,1792.79
2009,5,1792.39,1793.21
2009,6,1786.95,1793.6
2009,7,1785.02,1793.96
2009,8,1788.91,1794.3
2009,9,1794.83,1794.62
2009,10,1798,1794.94
2009,11,1797.87,1795.26
2009,12,1796.67,1795.59
2010,1,1797.11,1795.94
2010,2,1798.78,1796.29
2010,3,1799.47,1796.65
2010,4,1799.58,1797.05
2010,5,1797.62,1797.47
2010,6,1792.48,1797.91
2010,7,1789.43,1798.35
2010,8,1794.1,1798.81
2010,9,1801.87,1799.27
2010,10,1806.6,1799.73
2010,11,1807,1800.18
2010,12,1803.28,1800.63
