Year,Month,average,trend
2000,1,369.39,368.47
2000,2,369.65,368.51
2000,3,369.97,368.57
2000,4,370.35,368.67
2000,5,370.24,368.72
2000,6,369.31,368.78
2000,7,367.91,369.05
2000,8,366.76,369.27
2000,9,366.71,369.25
2000,10,367.91,369.31
2000,11,369.28,369.44
2000,12,370.1,369.54
2001,1,370.69,369.79
2001,2,371.18,370.03
2001,3,371.59,370.17
2001,4,371.9,370.22
2001,5,371.76,370.24
2001,6,370.81,370.28
2001,7,369.45,370.56
2001,8,368.32,370.79
2001,9,368.36,370.88
2001,10,369.71,371.11
2001,11,371.05,371.25
2001,12,371.97,371.46
2002,1,372.51,371.56
2002,2,372.91,371.64
2002,3,373.38,371.86
2002,4,373.73,371.96
2002,5,373.71,372.14
2002,6,372.84,372.3
2002,7,371.41,372.54
2002,8,370.35,372.89
2002,9,370.67,373.29
2002,10,371.95,373.44
2002,11,373.28,373.58
2002,12,374.26,373.8
2003,1,374.94,373.94
2003,2,375.47,374.13
2003,3,375.91,374.34
2003,4,376.39,374.59
2003,5,376.55,374.95
2003,6,375.71,375.17
2003,7,374.16,375.31
2003,8,372.93,375.51
2003,9,373.09,375.76
2003,10,374.36,375.89
2003,11,375.66,375.99
2003,12,376.52,376.09
2004,1,377.21,376.23
2004,2,377.73,376.41
2004,3,378.16,376.56
2004,4,378.47,376.68
2004,5,378.4,376.82
2004,6,377.51,376.96
2004,7,375.96,377.15
2004,8,374.49,377.13
2004,9,374.39,377.06
2004,10,375.73,377.23
2004,11,377.2,377.49
2004,12,378.17,377.69
2005,1,378.73,377.75
2005,2,379.27,377.95
2005,3,379.87,378.26
2005,4,380.32,378.51
2005,5,380.42,378.8
2005,6,379.6,379.01
2005,7,377.94,379.11
2005,8,376.73,379.37
2005,9,376.76,379.47
2005,10,378.07,379.64
2005,11,379.53,379.86
2005,12,380.53,380.05
2006,1,381.33,380.32
2006,2,381.95,380.58
2006,3,382.34,380.7
2006,4,382.67,380.84
2006,5,382.63,380.97
2006,6,381.76,381.14
2006,7,380.07,381.27
2006,8,378.49,381.21
2006,9,378.63,381.4
2006,10,380.08,381.67
2006,11,381.44,381.76
2006,12,382.39,381.91
2007,1,383.03,382.01
2007,2,383.55,382.14
2007,3,384.02,382.36
2007,4,384.28,382.45
2007,5,384.13,382.5
2007,6,383.26,382.69
2007,7,381.55,382.82
2007,8,380.29,383.06
2007,9,380.68,383.46
2007,10,382.1,383.65
2007,11,383.45,383.73
2007,12,384.46,383.96
2008,1,385.23,384.21
2008,2,385.74,384.36
2008,3,386.15,384.51
2008,4,386.53,384.72
2008,5,386.49,384.86
2008,6,385.58,385.02
2008,7,384.1,385.42
2008,8,382.77,385.57
2008,9,382.54,385.28
2008,10,383.67,385.15
2008,11,385.18,385.4
2008,12,386.27,385.74
2009,1,387.03,385.99
2009,2,387.48,386.06
2009,3,387.71,386.05
2009,4,387.99,386.18
2009,5,387.95,386.35
2009,6,386.96,386.45
2009,7,385.01,386.42
2009,8,383.63,386.49
2009,9,383.93,386.66
2009,10,385.49,386.91
2009,11,386.94,387.12
2009,12,387.84,387.28
2010,1,388.62,387.61
2010,2,389.33,387.94
2010,3,389.68,388.03
2010,4,389.98,388.17
2010,5,389.95,388.35
2010,6,389.01,388.51
2010,7,387.35,388.74
2010,8,386.23,389.04
2010,9,386.7,389.4
2010,10,388.25,389.67
2010,11,389.61,389.8
2010,12,390.34,389.8
