# --------------------------------------------------------------------,,,,,
# USE OF NOAA GML DATA,,,,,
#,,,,,
# These data are made freely available to the public and the scientific,,,,,
# community in the belief that their wide dissemination will lead to,,,,,
# greater understanding and new scientific insights. To ensure that GML,,,,,
# receives fair credit for their work please include relevant citation,,,,,
# text in publications. We encourage users to contact the data providers,,,,,
# who can provide detailed information about the measurements and,,,,,
# scientific insight.  In cases where the data are central to a,,,,,
# publication, coauthorship for data providers may be appropriate.,,,,
#,,,,,
#,,,,,
#,,,,,
# Contact:  Xin Lan (xin.lan@noaa.gov),,,,,
#,,,,,
# File Creation: Fri Mar 14 08:56:21 2025,,,,,
#,,,,,
#,,,,,
# --------------------------------------------------------------------,,,,,
#,,,,,
#,,,,,
# See gml.noaa.gov/ccgg/trends/ for additional details.,,,,,
#,,,,,
#,,,,,
# Uncertainties in the global monthly means are estimated using two,,,,,
# terms: The first is a bootstrap (resampling) method that varies the,,,,,
# sites in our network. Each pseudo-network contains the same number of,,,,,
# sites as our actual NOAA ESRL cooperative global air sampling network,,,,,
# but some are repeated and some are excluded. The second term is a,,,,,
# Monte Carlo method that randomly modifies the data to account for,,,,,
# measurement uncertainty. In both cases, 100 globally-averaged time,,,,
# series are created. Standard deviations of the monthly means are,,,,,
# calculated, and the two terms (network and analytical) are taken in,,,,
# quadrature to give the  reported uncertainties. A default value (-9.9),,,,,
# indicates the uncertainty has not yet been calculated for that month.,,,,,
# Please see Dlugokencky et al.,1994,, vol. 99, 17021-17043, for a
# complete discussion.,,,,,
#,,,,,
# CH4 expressed as a mole fraction in dry air, nanomol/mol,,,,
#,,,,,
# NOTE: In general, the data presented for the last year are subject to change,,,,
# depending on recalibration of the reference gas mixtures used, and other quality,,,,
# control procedures. Occasionally, earlier years may also change for the same,,,,
# reasons.  Usually these changes are minor.,,,,,
year,month,average,average_unc,trend,trend_unc
,,,,,
1983,7,1625.96,2.19,1635.07,1.42
1983,8,1628.05,2.72,1635.59,1.36
1983,9,1638.43,2.16,1636.17,1.29
1983,10,1644.8,1.4,1636.81,1.21
1983,11,1642.61,0.71,1637.52,1.12
1983,12,1639.54,0.92,1638.31,1.03
1984,1,1638.73,2.1,1639.18,0.93
1984,2,1638.82,2.42,1640.09,0.85
1984,3,1640.87,1.65,1641.06,0.78
1984,4,1643.96,1.79,1642.11,0.71
1984,5,1643.14,1.04,1643.19,0.65
1984,6,1639.75,0.79,1644.31,0.61
1984,7,1638,1,1645.44,0.58
1984,8,1641.69,1.45,1646.6,0.57
1984,9,1650.61,1.07,1647.74,0.56
1984,10,1654.59,1.47,1648.87,0.56
1984,11,1653.78,0.95,1649.98,0.56
1984,12,1656.2,1.1,1651.08,0.57
1985,1,1655.6,1.18,1652.16,0.57
1985,2,1652.24,1.42,1653.18,0.57
1985,3,1654.62,1.07,1654.17,0.57
1985,4,1658.18,0.76,1655.19,0.56
1985,5,1655.87,1.15,1656.19,0.56
1985,6,1650.06,1.31,1657.19,0.56
1985,7,1646.81,1.31,1658.19,0.56
1985,8,1652.24,1.32,1659.2,0.57
1985,9,1662.49,1.23,1660.21,0.58
1985,10,1667.5,1.07,1661.22,0.59
1985,11,1666.81,1.19,1662.24,0.61
1985,12,1666.05,0.92,1663.28,0.62
1986,1,1666.28,1.03,1664.34,0.65
1986,2,1666.92,1.77,1665.35,0.67
1986,3,1669.27,1.43,1666.38,0.69
1986,4,1670.79,1.49,1667.44,0.71
1986,5,1668.44,0.89,1668.52,0.73
1986,6,1664.78,1.15,1669.59,0.75
1986,7,1662.33,1.25,1670.68,0.77
1986,8,1664.37,1.68,1671.78,0.78
1986,9,1672.58,1.51,1672.87,0.78
1986,10,1678.67,1.43,1673.96,0.78
1986,11,1678.98,1.64,1675.05,0.77
1986,12,1679.11,1.17,1676.14,0.75
1987,1,1679.39,1.14,1677.24,0.73
1987,2,1679.03,1.12,1678.28,0.7
1987,3,1680.02,1.02,1679.3,0.67
1987,4,1681.33,0.97,1680.34,0.63
1987,5,1681.84,1.04,1681.36,0.59
1987,6,1680,1.14,1682.36,0.55
1987,7,1675.96,0.87,1683.32,0.51
1987,8,1677.16,0.92,1684.27,0.47
1987,9,1685.59,1.02,1685.17,0.45
1987,10,1691.57,0.94,1686.05,0.43
1987,11,1691.17,0.87,1686.9,0.42
1987,12,1690.49,0.94,1687.73,0.42
1988,1,1692.03,0.88,1688.57,0.44
1988,2,1692.62,1.05,1689.37,0.46
1988,3,1691.37,1.05,1690.17,0.48
1988,4,1690.1,1,1690.99,0.51
1988,5,1689.1,0.99,1691.83,0.54
1988,6,1687.17,1.16,1692.68,0.56
1988,7,1686,0.9,1693.56,0.57
1988,8,1689.44,1.1,1694.48,0.58
1988,9,1696.12,1.04,1695.42,0.59
1988,10,1701.14,1.15,1696.37,0.59
1988,11,1702.85,1.25,1697.35,0.58
1988,12,1701.92,1.1,1698.35,0.58
1989,1,1700.53,0.94,1699.37,0.57
1989,2,1701.08,1.34,1700.35,0.56
1989,3,1702.47,1.61,1701.33,0.55
1989,4,1703.58,1.19,1702.34,0.55
1989,5,1703.37,0.53,1703.34,0.55
1989,6,1700.21,0.94,1704.32,0.55
1989,7,1698.2,0.89,1705.28,0.55
1989,8,1701.98,0.97,1706.23,0.56
1989,9,1707.19,1.01,1707.13,0.57
1989,10,1710.52,1.12,1708.01,0.59
1989,11,1713.12,0.94,1708.85,0.61
1989,12,1713.23,0.97,1709.65,0.63
1990,1,1712.14,1.16,1710.43,0.66
1990,2,1713.54,1.29,1711.15,0.69
1990,3,1714.42,1.19,1711.83,0.72
1990,4,1712.55,1.15,1712.51,0.74
1990,5,1710.65,1.07,1713.17,0.76
1990,6,1708.47,0.84,1713.83,0.78
1990,7,1706.56,0.76,1714.48,0.79
1990,8,1710.22,1.48,1715.16,0.79
1990,9,1717.59,1.56,1715.85,0.79
1990,10,1722.01,1.18,1716.58,0.79
1990,11,1723.47,0.94,1717.36,0.78
1990,12,1723.29,1.05,1718.21,0.77
1991,1,1721.57,1.2,1719.15,0.76
1991,2,1721.25,1.24,1720.12,0.75
1991,3,1722.06,1.02,1721.16,0.74
1991,4,1722.37,1.09,1722.31,0.72
1991,5,1722.07,1.01,1723.54,0.71
1991,6,1718.88,1.1,1724.81,0.7
1991,7,1715.95,0.95,1726.12,0.69
1991,8,1719.12,1.1,1727.45,0.68
1991,9,1726.05,1.65,1728.74,0.67
1991,10,1732.71,0.98,1729.98,0.66
1991,11,1737.47,0.93,1731.15,0.65
1991,12,1739.58,1.04,1732.2,0.64
1992,1,1738.93,1.18,1733.15,0.63
1992,2,1737.38,1.28,1733.92,0.61
1992,3,1736.92,0.96,1734.55,0.6
1992,4,1736.64,0.56,1735.03,0.59
1992,5,1734.97,0.78,1735.36,0.58
1992,6,1731.58,1.12,1735.56,0.56
1992,7,1728.81,1.12,1735.64,0.55
1992,8,1730.33,0.96,1735.62,0.54
1992,9,1734.61,0.72,1735.54,0.53
1992,10,1737.67,0.89,1735.41,0.51
1992,11,1739.23,1.2,1735.28,0.5
1992,12,1738.56,1.03,1735.17,0.49
1993,1,1735.77,0.88,1735.1,0.48
1993,2,1734.37,1.03,1735.09,0.47
