# --------------------------------------------------------------------,,,,,
# USE OF NOAA GML DATA,,,,,
#,,,,,
# These data are made freely available to the public and the scientific,,,,,
# community in the belief that their wide dissemination will lead to,,,,,
# greater understanding and new scientific insights. To ensure that GML,,,,,
# receives fair credit for their work please include relevant citation,,,,,
# text in publications. We encourage users to contact the data providers,,,,,
# who can provide detailed information about the measurements and,,,,,
# scientific insight.  In cases where the data are central to a,,,,,
# publication, coauthorship for data providers may be appropriate.,,,,
#,,,,,
#,,,,,
#,,,,,
# Contact:  Xin Lan (xin.lan@noaa.gov),,,,,
#,,,,,
# File Creation: Fri Mar 14 08:56:00 2025,,,,,
#,,,,,
#,,,,,
# --------------------------------------------------------------------,,,,,
#,,,,,
#,,,,,
# See gml.noaa.gov/ccgg/trends/ for additional details.,,,,,
#,,,,,
# The uncertainty in the global monthly mean is estimated using a,,,,,
# a monte carlo technique that computes 200 globally-averaged time,,,,,
# series, each time using a slightly different set of measurement,,,,
# records from the NOAA GML cooperative air sampling network.  The,,,,,
# reported uncertainty is the mean of the standard deviations,,,,,
# for each monthly mean using this technique.  Please see Conway et al.,,,,,
# 1994, JGR,, no. D11. for a complete discussion.  Units are ppm.,,
#,,,,,
# CO2 expressed as a mole fraction in dry air, micromol/mol,,,,
#,,,,,
# NOTE: In general, the data presented for the last year are subject to change,,,,
# depending on recalibration of the reference gas mixtures used, and other quality,,,,
# control procedures. Occasionally, earlier years may also be changed for the same,,,,
,,,,,
year,month,average,average_unc,trend,trend_unc
1979,1,336.56,0.11,335.92,0.1
1979,2,337.29,0.09,336.26,0.1
1979,3,337.88,0.11,336.51,0.1
1979,4,338.32,0.13,336.72,0.11
1979,5,338.26,0.04,336.71,0.11
1979,6,337.38,0.18,336.61,0.11
1979,7,335.56,0.27,336.41,0.12
1979,8,334.36,0.3,336.65,0.12
1979,9,335.02,0.24,337.4,0.12
1979,10,336.36,0.25,337.71,0.12
1979,11,337.36,0.2,337.68,0.11
1979,12,337.89,0.15,337.66,0.11
1980,1,338.57,0.13,337.93,0.1
1980,2,339.26,0.09,338.22,0.1
1980,3,339.59,0.08,338.23,0.09
1980,4,339.99,0.08,338.39,0.08
1980,5,340.44,0.09,338.89,0.08
1980,6,339.99,0.09,339.22,0.07
1980,7,338.44,0.16,339.28,0.07
1980,8,337.21,0.18,339.5,0.06
1980,9,337.05,0.12,339.44,0.06
1980,10,337.82,0.08,339.17,0.07
1980,11,338.93,0.07,339.26,0.07
1980,12,339.64,0.08,339.4,0.07
1981,1,340.18,0.1,339.54,0.08
1981,2,340.75,0.11,339.71,0.08
1981,3,341.38,0.12,340.02,0.08
1981,4,341.68,0.09,340.08,0.09
1981,5,341.43,0.07,339.88,0.09
1981,6,340.63,0.11,339.86,0.09
1981,7,339.23,0.14,340.07,0.09
1981,8,338.08,0.16,340.37,0.09
1981,9,337.97,0.12,340.36,0.09
1981,10,339.07,0.1,340.42,0.08
1981,11,340.18,0.12,340.5,0.08
1981,12,340.75,0.09,340.51,0.07
1982,1,341.36,0.09,340.74,0.07
1982,2,341.95,0.09,340.91,0.06
1982,3,342.23,0.07,340.84,0.05
1982,4,342.52,0.07,340.91,0.04
1982,5,342.36,0.06,340.82,0.04
1982,6,341.49,0.03,340.72,0.03
1982,7,339.75,0.08,340.61,0.03
1982,8,338.11,0.09,340.4,0.03
1982,9,338.16,0.07,340.54,0.03
1982,10,339.62,0.05,340.97,0.02
1982,11,340.95,0.06,341.27,0.02
1982,12,341.77,0.06,341.53,0.02
1983,1,342.37,0.05,341.71,0.03
1983,2,342.74,0.07,341.71,0.03
1983,3,343.04,0.08,341.7,0.03
1983,4,343.51,0.05,341.94,0.03
1983,5,343.84,0.1,342.3,0.04
1983,6,343.5,0.09,342.71,0.04
1983,7,342.14,0.13,342.9,0.04
1983,8,340.62,0.15,342.85,0.05
1983,9,340.53,0.09,342.94,0.05
1983,10,341.75,0.12,343.15,0.05
1983,11,342.83,0.12,343.19,0.06
1983,12,343.49,0.11,343.26,0.06
1984,1,344.32,0.05,343.66,0.06
1984,2,344.82,0.05,343.82,0.06
1984,3,344.96,0.06,343.6,0.07
1984,4,345.19,0.12,343.56,0.07
1984,5,345.33,0.1,343.78,0.07
1984,6,344.57,0.06,343.8,0.07
1984,7,343.2,0.13,344.02,0.08
1984,8,342.21,0.18,344.51,0.08
1984,9,342.13,0.15,344.57,0.08
1984,10,342.99,0.13,344.37,0.08
1984,11,344.16,0.15,344.46,0.08
1984,12,345,0.12,344.72,0.08
1985,1,345.35,0.1,344.66,0.08
1985,2,345.8,0.09,344.78,0.08
1985,3,346.64,0.1,345.32,0.08
1985,4,346.94,0.1,345.33,0.08
1985,5,346.78,0.09,345.2,0.08
1985,6,346.26,0.1,345.47,0.08
1985,7,344.92,0.14,345.75,0.08
1985,8,343.41,0.14,345.73,0.08
1985,9,343.37,0.09,345.82,0.08
1985,10,344.64,0.07,346.03,0.08
1985,11,345.79,0.09,346.11,0.08
1985,12,346.55,0.09,346.25,0.07
1986,1,347.11,0.1,346.42,0.07
1986,2,347.34,0.11,346.34,0.07
1986,3,347.71,0.13,346.38,0.07
1986,4,348.22,0.14,346.61,0.07
1986,5,348.32,0.13,346.75,0.08
1986,6,347.76,0.1,346.99,0.08
1986,7,346.29,0.15,347.14,0.08
1986,8,344.92,0.12,347.22,0.08
1986,9,344.86,0.11,347.26,0.08
1986,10,346.03,0.15,347.4,0.08
1986,11,347.3,0.16,347.63,0.08
1986,12,347.76,0.13,347.46,0.08
1987,1,348.02,0.11,347.24,0.09
1987,2,348.57,0.11,347.47,0.09
1987,3,349.29,0.1,347.88,0.09
1987,4,349.98,0.12,348.29,0.09
1987,5,350.26,0.16,348.69,0.1
1987,6,349.48,0.14,348.82,0.1
1987,7,347.86,0.17,348.85,0.1
1987,8,346.61,0.18,349.01,0.1
1987,9,346.7,0.12,349.15,0.1
1987,10,347.97,0.13,349.36,0.1
1987,11,349.25,0.13,349.58,0.09
1987,12,350.21,0.13,349.88,0.09
1988,1,350.91,0.11,350.13,0.09
1988,2,351.47,0.08,350.37,0.08
1988,3,351.85,0.1,350.39,0.08
1988,4,352.3,0.13,350.52,0.08
1988,5,352.46,0.12,350.83,0.07
1988,6,351.76,0.1,351.07,0.07
1988,7,350.28,0.13,351.27,0.07
1988,8,349.1,0.15,351.56,0.07
1988,9,349.27,0.12,351.79,0.07
1988,10,350.44,0.1,351.85,0.06
1988,11,351.61,0.09,351.98,0.06
1988,12,352.46,0.1,352.16,0.07
1989,1,353.01,0.09,352.19,0.07
1989,2,353.46,0.09,352.34,0.07
1989,3,354.01,0.1,352.58,0.07
1989,4,354.38,0.09,352.6,0.07
1989,5,354.19,0.1,352.51,0.07
1989,6,353.27,0.09,352.57,0.07
1989,7,351.56,0.12,352.59,0.07
1989,8,350.21,0.14,352.7,0.07
1989,9,350.56,0.1,353.1,0.07
1989,10,351.85,0.11,353.28,0.07
1989,11,353.04,0.11,353.39,0.07
1989,12,353.91,0.1,353.58,0.07
1990,1,354.47,0.12,353.69,0.07
1990,2,354.87,0.14,353.82,0.07
1990,3,355.2,0.12,353.77,0.07
1990,4,355.51,0.1,353.73,0.07
1990,5,355.4,0.08,353.74,0.06
1990,6,354.32,0.08,353.66,0.06
1990,7,352.71,0.1,353.8,0.06
1990,8,351.59,0.11,354.09,0.06
1990,9,351.79,0.08,354.31,0.06
1990,10,353.19,0.08,354.6,0.05
1990,11,354.45,0.1,354.7,0.05
1990,12,355.19,0.07,354.75,0.05
1991,1,355.76,0.08,354.96,0.05
1991,2,356.19,0.07,355.1,0.05
1991,3,356.68,0.07,355.25,0.05
1991,4,357.19,0.1,355.44,0.05
1991,5,357.11,0.11,355.49,0.06
1991,6,356.17,0.08,355.56,0.06
1991,7,354.53,0.11,355.65,0.06
1991,8,353.05,0.14,355.56,0.06
1991,9,352.93,0.1,355.45,0.07
1991,10,354,0.1,355.41,0.07
1991,11,355.16,0.12,355.38,0.07
1991,12,355.95,0.11,355.49,0.07
1992,1,356.54,0.08,355.72,0.07
1992,2,356.89,0.1,355.78,0.07
1992,3,357.26,0.1,355.79,0.07
1992,4,357.75,0.1,355.96,0.07
1992,5,357.82,0.11,356.19,0.07
1992,6,356.87,0.08,356.28,0.07
1992,7,355.18,0.11,356.34,0.07
1992,8,353.66,0.1,356.22,0.07
1992,9,353.57,0.12,356.13,0.07
1992,10,354.81,0.1,356.21,0.07
1992,11,355.99,0.11,356.2,0.07
1992,12,356.74,0.11,356.27,0.07
1993,1,357.21,0.11,356.37,0.07
1993,2,357.55,0.11,356.39,0.07
1993,3,357.96,0.1,356.51,0.07
1993,4,358.43,0.1,356.66,0.07
1993,5,358.38,0.13,356.73,0.07
1993,6,357.34,0.11,356.68,0.07
1993,7,355.72,0.15,356.74,0.07
1993,8,354.44,0.15,356.91,0.07
1993,9,354.47,0.09,357.05,0.07
1993,10,355.71,0.1,357.19,0.07
1993,11,356.95,0.09,357.29,0.07
1993,12,357.86,0.1,357.49,0.07
1994,1,358.48,0.11,357.62,0.07
1994,2,359,0.11,357.85,0.07
1994,3,359.36,0.09,357.9,0.08
1994,4,359.71,0.1,357.93,0.08
1994,5,359.74,0.13,358.06,0.08
1994,6,358.8,0.1,358.1,0.08
1994,7,357.27,0.1,358.26,0.08
1994,8,356.06,0.12,358.56,0.07
1994,9,356.02,0.08,358.67,0.07
1994,10,357.27,0.09,358.81,0.07
1994,11,358.69,0.11,359.03,0.07
1994,12,359.55,0.13,359.15,0.06
1995,1,360.13,0.1,359.27,0.06
1995,2,360.61,0.12,359.51,0.06
1995,3,361.08,0.1,359.7,0.05
1995,4,361.55,0.08,359.85,0.05
1995,5,361.47,0.09,359.84,0.05
1995,6,360.61,0.07,359.93,0.05
1995,7,358.99,0.08,359.99,0.05
1995,8,357.73,0.12,360.2,0.05
1995,9,358.05,0.09,360.64,0.05
1995,10,359.42,0.09,360.89,0.04
1995,11,360.77,0.07,361.04,0.04
1995,12,361.65,0.05,361.2,0.04
1996,1,362.14,0.05,361.23,0.04
1996,2,362.5,0.08,361.33,0.04
1996,3,362.82,0.09,361.4,0.04
1996,4,363.14,0.08,361.42,0.04
1996,5,363.29,0.09,361.68,0.04
1996,6,362.88,0.07,362.23,0.04
1996,7,361.57,0.07,362.61,0.04
1996,8,360.07,0.08,362.57,0.04
1996,9,359.7,0.08,362.31,0.04
1996,10,360.67,0.07,362.15,0.04
1996,11,361.78,0.06,362.09,0.04
1996,12,362.63,0.05,362.19,0.04
1997,1,363.28,0.05,362.34,0.04
1997,2,363.63,0.09,362.45,0.04
1997,3,364.02,0.1,362.62,0.04
1997,4,364.5,0.1,362.81,0.04
1997,5,364.51,0.09,362.93,0.04
1997,6,363.6,0.07,362.97,0.04
1997,7,361.93,0.1,362.96,0.05
1997,8,360.41,0.1,362.89,0.05
1997,9,360.4,0.06,363.01,0.05
1997,10,361.94,0.05,363.41,0.05
