# Title: Global Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
200001,0.31
200002,0.54
200003,0.53
200004,0.59
200005,0.37
200006,0.39
200007,0.40
200008,0.44
200009,0.45
200010,0.31
200011,0.30
200012,0.29
200101,0.46
200102,0.43
200103,0.54
200104,0.53
200105,0.57
200106,0.53
200107,0.62
200108,0.54
200109,0.55
200110,0.50
200111,0.69
200112,0.62
200201,0.68
200202,0.68
200203,0.83
200204,0.56
200205,0.66
200206,0.58
200207,0.64
200208,0.56
200209,0.61
200210,0.57
200211,0.57
200212,0.51
200301,0.71
200302,0.62
200303,0.59
200304,0.57
200305,0.60
200306,0.50
200307,0.58
200308,0.64
200309,0.69
200310,0.74
200311,0.56
200312,0.73
200401,0.62
200402,0.70
200403,0.67
200404,0.62
200405,0.40
200406,0.44
200407,0.37
200408,0.49
200409,0.55
200410,0.62
200411,0.70
200412,0.54
200501,0.76
200502,0.63
200503,0.74
200504,0.68
200505,0.66
200506,0.67
200507,0.64
200508,0.60
200509,0.71
200510,0.73
200511,0.76
200512,0.72
200601,0.60
200602,0.76
200603,0.65
200604,0.55
200605,0.55
200606,0.64
200607,0.56
200608,0.71
200609,0.67
200610,0.68
200611,0.68
200612,0.78
200701,0.91
200702,0.70
200703,0.68
200704,0.78
200705,0.64
200706,0.59
200707,0.59
200708,0.57
200709,0.60
200710,0.60
200711,0.57
200712,0.49
200801,0.28
200802,0.33
200803,0.70
200804,0.52
200805,0.51
200806,0.49
200807,0.59
200808,0.53
200809,0.61
200810,0.68
200811,0.70
200812,0.59
200901,0.67
200902,0.54
200903,0.53
200904,0.57
200905,0.63
200906,0.68
200907,0.74
200908,0.71
200909,0.76
200910,0.69
200911,0.76
200912,0.71
201001,0.76
201002,0.83
201003,0.89
201004,0.88
201005,0.78
201006,0.70
201007,0.68
201008,0.65
201009,0.66
201010,0.69
201011,0.77
201012,0.51
